drug_name,drug_generic_name,Date of Approval,Company,Treatment for
Kcentra,"(prothrombin complex concentrate, human)","April 29, 2013",CSL Behring,Reversal of Vitamin K Antagonist (VKA) Anticoagulation
Simbrinza,(brimonidine and brinzolamide)  Ophthalmic Suspension,"April 19, 2013",Alcon,Glaucoma
Sitavig,(acyclovir)  Buccal Tablets,"April 12, 2013",BioAlliance Pharma SA,Cold Sores
Diclegis,(doxylamine and pyridoxine)  Delayed-Release Tablets,"April 8, 2013",Duchesnay Inc.,Nausea and Vomiting of Pregnancy
Prolensa,(bromfenac)  Ophthalmic Solution,"April 5, 2013",Bausch + Lomb,Postoperative Ocular Inflammation
Karbinal ER,(carbinoxamine)  Extended-Release Oral Suspension,"March 28, 2013","Tris Pharma, Inc.","Conjunctivitis, Allergic, Allergic Reactions, Allergic Rhinitis, Allergic Urticaria"
Quartette,(levonorgestrel/ethinyl estradiol and ethinyl estradiol)  Tablets,"March 28, 2013","Teva Branded Pharmaceutical Products R&D, Inc.",Birth Control
Invokana,(canagliflozin)  Tablets,"March 29, 2013","Janssen Research & Development, LLC","Diabetes, Type 2, Cardiovascular Risk Reduction, Diabetic Kidney Disease"
Tecfidera,(dimethyl fumarate)  Delayed-Release Capsules  - formerly BG-12,"March 27, 2013",Biogen Idec,Multiple Sclerosis
TOBI Podhaler,(tobramycin)  Inhalation Powder,"March 22, 2013",Novartis Pharmaceuticals Corporation,Cystic Fibrosis
Dotarem,(gadoterate meglumine)  Injection,"March 20, 2013",Guerbet,Diagnosis and Investigation
Lymphoseek,(technetium Tc 99m tilmanocept)  Injection,"March 13, 2013",Navidea Biopharmaceuticals,Diagnosis and Investigation
Abilify Maintena,(aripiprazole)  for Extended-Release Injectable Suspension,"February 28, 2013","Otsuka Pharmaceutical Co., Ltd. and H. Lundbeck A/S","Schizophrenia, Bipolar Disorder"
Vituz,(chlorpheniramine and hydrocodone)  Oral Solution,"February 20, 2013","Hawthorn Pharmaceuticals, Inc.","Cough, Cold Symptoms"
Osphena,(ospemifene)  Tablets,"February 26, 2013",Duchesnay Inc.,"Dyspareunia, Atrophic Vaginitis"
Kadcyla,(ado-trastuzumab emtansine)  Injection,"February 22, 2013","Genentech, Inc.",Breast Cancer
Pomalyst,(pomalidomide)  Capsules,"February 8, 2013",Bristol Myers Squibb,"Multiple Myeloma, Kaposi's Sarcoma"
Delzicol,(mesalamine)  Delayed-Release Capsules,"February 1, 2013","Allergan, Inc.",Ulcerative Colitis
Ravicti,(glycerol phenylbutyrate)  Oral Liquid,"February 1, 2013",Hyperion Therapeutics,Urea Cycle Disorders
Kynamro,(mipomersen)  Injection,"January 29, 2013",Kastle Therapeutics,"High Cholesterol, Familial Homozygous"
Kazano,(alogliptin and metformin)  Tablets,"January 25, 2013",Takeda Pharmaceutical Company Limited,"Diabetes, Type 2"
Oseni,(alogliptin and pioglitazone)  Tablets  - formerly SYR-322/Actos,"January 25, 2013",Takeda Pharmaceutical Company Limited,"Diabetes, Type 2"
Nesina,(alogliptin)  Tablets  - formerly SYR-322,"January 25, 2013",Takeda Pharmaceutical Company Limited,"Diabetes, Type 2"
Oxytrol for Women,(oxybutynin)  Transdermal System,"January 25, 2013",Merck,Overactive Bladder
Zecuity,(sumatriptan)  Transdermal Patch,"January 17, 2013",NuPathe Inc.,Migraine
Octaplas,(pooled plasma (human))  Solution for Intravenous Infusion,"January 17, 2013",Octapharma,Bleeding Disorder
Uceris,(budesonide),"January 14, 2013","Santarus, Inc.",Ulcerative Colitis
Skyla,(levonorgestrel)  Intrauterine System,"January 9, 2013",Bayer HealthCare Pharmaceuticals Inc.,Birth Control
FluLaval Quadrivalent,"(influenza virus vaccine, inactivated)","August 16, 2013",GlaxoSmithKline,Influenza Prophylaxis
Mytesi,(crofelemer)  Delayed-Release Tablets  - formerly Fulyzaq,"December 31, 2012","Napo Pharmaceuticals, Inc.",Diarrhea
Sirturo,(bedaquiline)  Tablets,"December 28, 2012","Janssen Research & Development, LLC","Tuberculosis, Resistant"
Eliquis,(apixaban)  Tablets,"December 28, 2012",Bristol-Myers Squibb Company and Pfizer Inc.,"Prevention of Thromboembolism in Atrial Fibrillation, Deep Vein Thrombosis Prophylaxis after Knee Replacement Surgery, Deep Vein Thrombosis Prophylaxis after Hip Replacement Surgery"
Juxtapid,(lomitapide)  Capsules,"December 21, 2012",Aegerion Pharmaceuticals Inc.,"High Cholesterol, Familial Homozygous"
VariZIG,(varicella zoster immune globulin)  for Injection,"December 20, 2012",Cangene Corporation,Varicella-Zoster
Gattex,(teduglutide)  for Injection,"December 21, 2012","NPS Pharmaceuticals, Inc.",Short Bowel Syndrome
Bivigam,(immune globulin intravenous)  Infusion,"December 21, 2012",Biotest Pharmaceuticals Corporation,Primary Immunodeficiency Syndrome
Adasuve,(loxapine)  Inhalation Powder  - formerly AZ-004,"December 21, 2012","Alexza Pharmaceuticals, Inc.","Agitation, Schizophrenia, Bipolar Disorder"
Signifor,(pasireotide)  Injection,"December 14, 2012",Novartis Pharmaceuticals Corporation,Cushing's Syndrome
,(raxibacumab),"December 14, 2012","Emergent BioSolutions, Inc.",Anthrax
Iclusig,(ponatinib)  Tablets,"December 14, 2012",Takeda,"Chronic Myelogenous Leukemia, Acute Lymphoblastic Leukemia"
Evarrest,(fibrin sealant)  Patch,"December 5, 2012","Ethicon, Inc.",Bleeding Disorder
Cometriq,(cabozantinib)  Capsules,"November 29, 2012","Exelixis, Inc.",Thyroid Cancer
Xeljanz,(tofacitinib)  Tablets and Oral Solution,"November 6, 2012",Pfizer Inc.,"Rheumatoid Arthritis, Psoriatic Arthritis, Ulcerative Colitis, Juvenile Idiopathic Arthritis, Ankylosing Spondylitis"
Synribo,(omacetaxine mepesuccinate),"October 26, 2012",Teva Pharmaceuticals,Chronic Myelogenous Leukemia
Fycompa,(perampanel)  Tablets and Oral Suspension,"October 22, 2012",Eisai Inc.,"Epilepsy, Seizures"
Jetrea,(ocriplasmin)  Intravitreal Injection,"October 17, 2012",ThromboGenics NV,Vitreomacular Adhesion
Cystaran,(cysteamine hydrochloride)  Ophthalmic Solution,"October 2, 2012","Sigma-Tau Pharmaceuticals, Inc.",Cystinosis
Quillivant XR,(methylphenidate)  for Extended-Release Oral Suspension,"September 27, 2012","NextWave Pharmaceuticals, Inc.",ADHD
Stivarga,(regorafenib)  Tablets,"September 27, 2012",Bayer HealthCare Pharmaceuticals Inc.,"Colorectal Cancer, Gastrointestinal Stromal Tumor, Hepatocellular Carcinoma"
Aubagio,(teriflunomide)  Tablets,"September 12, 2012",Sanofi,Multiple Sclerosis
Bosulif,(bosutinib)  Tablets and Capsules,"September 4, 2012",Pfizer Inc.,Chronic Myelogenous Leukemia
Xtandi,(enzalutamide)  Capsules and Tablets,"August 31, 2012",Astellas Pharma Inc.,Prostate Cancer
Linzess,(linaclotide)  Capsules,"August 30, 2012","Ironwood Pharmaceuticals, Inc.","Irritable Bowel Syndrome with Constipation, Chronic Idiopathic Constipation, Functional Constipation"
Granix,(tbo-filgrastim)  Injection,"August 29, 2012",Teva Pharmaceutical Industries Ltd.,Neutropenia Associated with Chemotherapy
Stribild,"(cobicistat, elvitegravir, emtricitabine and tenofovir)  Tablets","August 27, 2012","Gilead Sciences, Inc.",HIV Infection
Auvi-Q,(epinephrine)  Injection,"August 10, 2012",Sanofi,"Anaphylaxis, Allergic Reactions"
Marqibo,(vincristine sulfate liposomes)  Injection  - formerly Onco TCS,"August 9, 2012",Talon Therapeutics Inc.,Acute Lymphoblastic Leukemia
Zaltrap,(ziv-aflibercept)  Injection,"August 3, 2012","Sanofi and Regeneron Pharmaceuticals, Inc.",Colorectal Cancer
Rayos,(prednisone)  Delayed-Release Tablets  - formerly Lodotra,"July 26, 2012","Horizon Pharma, Inc.","Rheumatoid Arthritis, Polymyalgia Rheumatica, Psoriatic Arthritis, Ankylosing Spondylitis, Asthma, COPD"
Vascepa,(icosapent ethyl)  Capsules,"July 26, 2012",Amarin Corporation plc,"Hypertriglyceridemia, Cardiovascular Risk Reduction"
Tudorza,(aclidinium bromide)  Pressair,"July 23, 2012","Allergan, Inc.",COPD
Kyprolis,(carfilzomib)  Injection,"July 20, 2012",Amgen Inc.,Multiple Myeloma
Qsymia,(phentermine and topiramate)  Extended-Release Capsules  - formerly Qnexa,"July 17, 2012","Vivus, Inc.",Weight Loss (Obesity/Overweight)
Prepopik,"(sodium picosulfate, magnesium oxide and citric acid)  for Oral Solution","July 16, 2012",Ferring Pharmaceuticals,Bowel Preparation
Myrbetriq,(mirabegron)  Extended Release Tablets and Granules,"June 28, 2012",Astellas Pharma Inc.,Overactive Bladder; Neurogenic Detrusor Overactivity
Belviq,(lorcaserin)  Tablets,"June 27, 2012","Arena Pharmaceuticals, Inc.",Weight Loss (Obesity/Overweight)
MenHibrix,(Meningococcal Groups C and Y and Haemophilus b Tetanus Toxoid Conjugate Vaccine),"June 14, 2012",GlaxoSmithKline,"Haemophilus influenzae Prophylaxis, Meningococcal Disease Prophylaxis"
Perjeta,(pertuzumab)  Injection,"June 8, 2012",Genentech,Breast cancer
Pertzye,(pancrelipase)  Delayed Release Capsules,"May 17, 2012","Digestive Care, Inc.",Pancreatic Exocrine Dysfunction
Fabior,(tazarotene)  Foam,"May 11, 2012","Stiefel Laboratories, Inc.",Acne
Dymista,(azelastine and fluticasone)  Nasal Spray,"May 1, 2012","Meda Pharmaceuticals, Inc.",Allergic Rhinitis
Elelyso,(taliglucerase alfa)  - formerly Uplyso,"May 1, 2012","Protalix BioTherapeutics, Inc.",Gaucher Disease
Stendra,(avanafil)  Tablets,"April 27, 2012","Vivus, Inc.",Erectile Dysfunction
Amyvid,(florbetapir F 18)  Injection,"April 6, 2012","Eli Lilly and Company and Avid Radiopharmaceuticals, Inc.",Diagnosis and Investigation
Omontys,(peginesatide)  Injection,"March 27, 2012","Affymax, Inc. and Takeda Pharmaceutical Company Limited",Anemia Due to Chronic Kidney Disease
QNASL,(beclomethasone dipropionate)  Nasal Aerosol,"March 23, 2012",Teva Pharmaceutical Industries Ltd.,Allergic Rhinitis
Binosto,(alendronate)  Effervescent Tablets,"March 12, 2012",EffRx Pharmaceuticals SA,Osteoporosis
Surfaxin,(lucinactant)  Intratracheal Suspension,"March 6, 2012","Discovery Laboratories, Inc.",Respiratory Distress Syndrome
Viokace,(pancrelipase)  Tablets,"March 1, 2012","Allergan, Inc.",Pancreatic Exocrine Dysfunction
Ultresa,(pancrelipase)  Delayed Release Capsules,"March 1, 2012","Allergan, Inc.",Pancreatic Exocrine Dysfunction
Korlym,(mifepristone)  Tablets,"February 17, 2012",Corcept Therapeutics,Cushing's Syndrome
Testosterone Gel,(testosterone)  Topical Gel  - formerly Bio-T-Gel,"February 14, 2012","ANI Pharmaceuticals, Inc.","Hypogonadism, Male"
Zioptan,(tafluprost)  Ophthalmic Solution,"February 10, 2012","Merck & Co., Inc.","Glaucoma, Open Angle, Intraocular Hypertension"
Mitosol,(mitomycin)  Ophthalmic Solution,"February 7, 2012","Mobius Therapeutics, LLC",Glaucoma Surgery
Sklice,(ivermectin)  Lotion,"February 7, 2012","Arbor Pharmaceuticals, LLC",Lice
Jentadueto,(linagliptin and metformin hydrochloride)  Tablets,"January 30, 2012","Boehringer Ingelheim Pharmaceuticals, Inc. and Eli Lilly","Diabetes, Type 2"
Kalydeco,(ivacaftor)  Tablets and Oral Granules,"January 31, 2012",Vertex Pharmaceuticals Incorporated,Cystic Fibrosis
Erivedge,(vismodegib)  Capsules,"January 30, 2012",Genentech,Basal Cell Carcinoma
Inlyta,(axitinib)  Tablets,"January 27, 2012",Pfizer Inc.,Renal Cell Carcinoma
Picato,(ingenol mebutate)  Topical Gel,"January 23, 2012",Leo Pharma,Actinic Keratosis
Zetonna,(ciclesonide)  Nasal Aerosol,"January 20, 2012",Sunovion Pharmaceuticals Inc.,Allergic Rhinitis
Voraxaze,(glucarpidase)  Injection,"January 17, 2012",BTG International Inc.,Toxic Methotrexate Levels
Subsys,(fentanyl)  Sublingual Spray,"January 4, 2012","INSYS Therapeutics, Inc.",Pain
Fluarix Quadrivalent,"(influenza virus vaccine, inactivated)  Injection","December 14, 2012",GlaxoSmithKline,Influenza Prophylaxis
Eylea,(aflibercept)  Injection,"November 18, 2011","Regeneron Pharmaceuticals, Inc.","Macular Degeneration, Macular Edema, Diabetic Retinopathy, Diabetic Macular Edema, Retinopathy of Prematurity"
Edarbyclor,(azilsartan medoxomil and chlorthalidone)  Tablets,"December 20, 2011",Takeda Pharmaceutical Company Limited,High Blood Pressure
Anturol,(oxybutynin)  Gel,"December 7, 2011","Antares Pharma, Inc.",Overactive Bladder
Intermezzo,(zolpidem tartrate)  Sublingual Tablets,"November 23, 2011","Transcept Pharmaceuticals, Inc.",Insomnia
Eylea,(aflibercept)  Injection,"November 18, 2011","Regeneron Pharmaceuticals, Inc.","Macular Degeneration, Macular Edema, Diabetic Retinopathy, Diabetic Macular Edema, Retinopathy of Prematurity"
Erwinaze,(asparaginase Erwinia chrysanthemi)  Injection,"November 18, 2011",Jazz Pharmaceuticals,Acute Lymphoblastic Leukemia
Jakafi,(ruxolitinib)  Tablets,"November 16, 2011",Incyte Corporation,"Myelofibrosis, Polycythemia Vera, Graft-versus-host disease"
Belotero Balance,(dermal filler),"November 16, 2011","Merz Pharmaceuticals, LLC",Facial Wrinkles
Forfivo XL,(bupropion hydrochloride)  Extended Release Tablets,"November 10, 2011",IntelGenx Corp.,Depression
Exparel,(bupivacaine liposome)  Injectable Suspension,"October 28, 2011","Pacira Pharmaceuticals, Inc.",Postoperative Pain
Onfi,(clobazam)  Tablets,"October 21, 2011",Lundbeck Inc.,Lennox-Gastaut Syndrome
Ferriprox,(deferiprone)  Tablets and Oral Solution,"October 14, 2011",ApoPharma Inc.,"Thalassemia, Iron Overload, Sickle Cell Anemia"
Juvisync,(simvastatin and sitagliptin)  Tablets,"October 7, 2011","Merck & Co., Inc.","Diabetes, Type 2, High Cholesterol, Familial Homozygous, High Cholesterol, Familial Heterozygous, Hypertriglyceridemia"
Xalkori,(crizotinib)  Capsules and Oral Pellets,"August 26, 2011",Pfizer Inc.,"Non-Small Cell Lung Cancer, Anaplastic Large Cell Lymphoma - ALK-Positive, Inflammatory Myofibroblastic Tumor"
Firazyr,(icatibant)  Injection,"August 25, 2011",Shire plc,Angioedema
Adcetris,(brentuximab vedotin)  Injection,"August 19, 2011","Seattle Genetics, Inc.","Lymphoma, Hodgkin's Lymphoma, Mycosis Fungoides"
Zelboraf,(vemurafenib)  Tablets,"August 17, 2011","Genentech, Inc.","Melanoma, Metastatic"
Propel,(mometasone furoate)  Implant,"August 15, 2011","Intersect ENT, Inc.",Sinusitis
Complera,"(emtricitabine, rilpivirine and tenofovir disoproxil fumarate)  Tablets","August 10, 2011","Gilead Sciences, Inc.",HIV Infection
Anascorp,(antivenom (centruroides scorpion))  Injection,"August 3, 2011",Scorpion Stings
Brilinta,(ticagrelor)  Tablets,"July 20, 2011",AstraZeneca,"Acute Coronary Syndrome, Coronary Artery Disease, Cardiovascular Risk Reduction, Ischemic Stroke, Prophylaxis"
Arcapta,(indacaterol)  Neohaler  - formerly QAB149,"July 1, 2011",Novartis Pharmaceuticals Corp.,COPD
Xarelto,(rivaroxaban)  Tablets and Oral Suspension,"July 1, 2011","Janssen Pharmaceuticals, Inc.","Deep Vein Thrombosis Prophylaxis after Knee Replacement Surgery, Deep Vein Thrombosis Prophylaxis after Hip Replacement Surgery, Prevention of Thromboembolism in Atrial Fibrillation, Coronary Artery Disease, Peripheral Arterial Disease, Deep Vein Thrombosis, Pulmonary Embolism, Venous Thromboembolism"
Lazanda,(fentanyl)  Nasal Spray  - formerly NasalFent,"June 30, 2011",Archimedes Pharma,Pain
Rezira,(hydrocodone and pseudoephedrine)  Oral Solution,"June 8, 2011","Cypress Pharmaceutical, Inc.",Cough and Nasal Congestion
Zutripro,"(chlorpheniramine, hydrocodone and pseudoephedrine)  Oral Solution","June 8, 2011","Cypress Pharmaceutical, Inc.",Cough and Nasal Congestion
LaViv,(azficel-T),"June 21, 2011","Fibrocell Science, Inc.",Wrinkles
Rectiv,(nitroglycerin)  Ointment,"June 21, 2011","Allergan, Inc.",Anal Fissure and Fistula
Oxecta,(oxycodone)  Tablets  - formerly Acurox,"June 17, 2011",Pfizer Inc. and Acura Pharmaceuticals Inc.,Pain
Nulojix,(belatacept)  Injection,"June 15, 2011",Bristol-Myers Squibb Company,"Organ Transplant, Rejection Prophylaxis"
Potiga,(ezogabine)  Tablets,"June 10, 2011",GlaxoSmithKline and Valeant Pharmaceuticals International,Seizures
Dificid,(fidaxomicin),"May 27, 2011",Merck,Clostridioides difficile Infection
Incivek,(telaprevir)  Tablets,"May 23, 2011",Vertex Pharmaceuticals Incorporated,Hepatitis C
Edurant,(rilpivirine)  Tablets and Tablets for Oral Suspension,"May 20, 2011","Janssen Products, LP",HIV Infection
Victrelis,(boceprevir),"May 13, 2011",Merck,Hepatitis C
Docefrez,(docetaxel)  for Injection,"May 3, 2011",Sun Pharmaceutical Industries Ltd.,"Breast Cancer, Non-Small Cell Lung Cancer, Prostate Cancer"
Tradjenta,(linagliptin)  Tablets,"May 2, 2011",Boehringer Ingelheim Pharmaceuticals Inc.,"Diabetes, Type 2"
Zytiga,(abiraterone)  Tablets,"April 28, 2011",Centocor Ortho Biotech Inc.,Prostate Cancer
Duexis,(famotidine and ibuprofen)  Tablets,"April 23, 2011","Horizon Pharma, Inc.","Osteoarthritis, Rheumatoid Arthritis, NSAID-Induced Ulcer Prophylaxis"
Sylatron,(peginterferon alfa-2b),"March 29, 2011",Merck,Melanoma
Horizant,(gabapentin enacarbil)  Extended Release Tablets  - formerly Solzira,"April 6, 2011","GlaxoSmithKline and XenoPort, Inc.","Restless Legs Syndrome, Postherpetic Neuralgia"
Caprelsa,(vandetanib)  Tablets,"April 6, 2011",AstraZeneca,Thyroid Cancer
Yervoy,(ipilimumab)  Injection,"March 25, 2011",Bristol-Myers Squibb,"Melanoma, Metastatic, Renal Cell Carcinoma, Colorectal Cancer, Hepatocellular Carcinoma, Non-Small Cell Lung Cancer, Malignant Pleural Mesothelioma"
,(adenovirus type 4 and type 7 vaccine),"March 16, 2011","Barr Laboratories, Inc.",Infection Prophylaxis
Gadavist,(gadobutrol)  Injection,"March 14, 2011",Bayer HealthCare Pharmaceuticals Inc.,Diagnosis and Investigation
Benlysta,(belimumab)  Injection,"March 10, 2011",GlaxoSmithKline,"Lupus, Lupus Nephritis"
Daliresp,(roflumilast)  Tablets  - formerly Daxas,"February 28, 2011","Allergan, Inc.",COPD
Edarbi,(azilsartan medoxomil)  Tablets,"February 25, 2011",Takeda Pharmaceutical Company Limited,High Blood Pressure
Corifact,(factor XIII concentrate (human)),"February 17, 2011",CSL Behring LLC,Factor XIII Deficiency
Makena,(hydroxyprogesterone caproate)  Injection  - formerly Gestiva,"February 3, 2011","AMAG Pharmaceuticals, Inc.",Premature Labor
Gralise,(gabapentin)  Extended Release Tablets  - formerly DM-1796,"January 28, 2011","Depomed, Inc.",Postherpetic Neuralgia
Viibryd,(vilazodone)  Tablets,"January 21, 2011","Allergan, Inc.",Depression
Natroba,(spinosad)  Topical Suspension,"January 18, 2011",ParaPRO LLC,Lice
DaTscan,(ioflupane I 123)  Injection,"January 14, 2011",GE Healthcare,Diagnosis and Investigation
Abstral,(fentanyl)  Sublingual Tablets,"January 7, 2011",Orexo AB,Pain
Fortesta,(testosterone)  Gel,"December 29, 2010",Endo Pharmaceuticals,"Hypogonadism, Male"
Amturnide,"(aliskiren, amlodipine and hydrochlorothiazide)  Tablets","December 21, 2010",Novartis Pharmaceuticals Corporation,High Blood Pressure
Safyral,"(drospirenone, ethinyl estradiol and levomefolate calcium)  Tablets","December 16, 2010","Bayer HealthCare Pharmaceuticals, Inc.",Birth Control
Axiron,(testosterone)  Topical Solution,"November 23, 2010",Eli Lilly and Company,"Hypogonadism, Male"
Gablofen,(baclofen)  Injection,"November 19, 2010",CNS Therapeutics,"Cerebral Spasticity, Chronic Spasticity"
Moxeza,(moxifloxacin)  Ophthalmic Solution,"November 19, 2010","Alcon, Inc.","Conjunctivitis, Bacterial"
Xgeva,(denosumab)  Injection,"November 18, 2010",Amgen Inc.,"Osteolytic Bone Metastases of Solid Tumors, Osteolytic Bone Lesions of Multiple Myeloma, Giant Cell Tumor of Bone, Hypercalcemia of Malignancy"
Halaven,(eribulin mesylate)  Injection,"November 15, 2010","Eisai Co., Ltd."
Egrifta,(tesamorelin)  Injection,"November 10, 2010",Theratechnologies,Reduction of Excess Abdominal Fat in HIV-Infected Patients with Lipodystrophy
Kombiglyze XR,(saxagliptin and metformin)  Extended-Release Tablets,"November 5, 2010",AstraZeneca,"Diabetes, Type 2"
Ofirmev,(acetaminophen)  Intravenous Injection  - formerly Acetavance,"November 2, 2010","Cadence Pharmaceuticals, Inc.","Pain, Fever"
